ID,LOCATION_TYPE,LOCATION_TYPE_CODE,PSGC_CODE,LOCATION,LOC_CODE,PARENT_CODE,LOCATION_AREA_HA,LOCATION_LON,LOCATION_LAT,YEAR,PERIOD,TC_COUNT
1,National,0,PH9999999999,Philippines,1,NA,29340674,122.88863823288156,11.683905899533906,2018,January,26
2,Region,1,PH0100000000,Ilocos Region,1,NA,1230470.897,120.48431,16.90702,2018,January,0
3,Region,1,PH1000000000,Northern Mindanao,10,NA,1748726.483,124.67425,8.18737,2018,January,4
4,Region,1,PH1100000000,Davao Region,11,NA,1880989.96,125.82657,7.21033,2018,January,4
5,Region,1,PH1200000000,SOCCSKSARGEN,12,NA,1790438.227,124.81574,6.59804,2018,January,1
6,Region,1,PH1400000000,Cordillera Administrative Region,14,NA,1818770.568,121.03905,17.35562,2018,January,0
7,Region,1,PH1900000000,Bangsamoro Autonomous Region In Muslim Mindanao,15,NA,1255119.847,123.34939,6.92199,2018,January,1
8,Region,1,PH1600000000,CARAGA,16,NA,1860281.031,125.79354,8.80757,2018,January,5
9,Region,1,PH1700000000,MIMAROPA,17,NA,2670545.156,119.90138,11.3535,2018,January,1
10,Region,1,PH0200000000,Cagayan Valley,2,NA,2638794.24,121.73245,17.20742,2018,January,0
11,Region,1,PH0300000000,Central Luzon,3,NA,2122869.134,120.82254,15.39167,2018,January,0
12,Region,1,PH0400000000,CALABARZON,4,NA,1559505.206,121.57574,14.1648,2018,January,0
13,Region,1,PH0500000000,Bicol Region,5,NA,1729064.188,123.47248,13.27324,2018,January,0
14,Region,1,PH0600000000,Western Visayas,6,NA,2004219.716,122.65134,10.84389,2018,January,4
15,Region,1,PH0700000000,Central Visayas,7,NA,1428558.608,123.615,9.92116,2018,January,4
16,Region,1,PH0800000000,Eastern Visayas,8,NA,2083545.065,124.95325,11.53711,2018,January,1
17,Region,1,PH0900000000,Zamboanga Peninsula,9,NA,1458898.459,122.84823,7.82603,2018,January,1
18,Province,2,PH1400100000,Abra,1,14,392658.995,120.80323,17.57832,2018,January,0
19,Province,2,PH0401000000,Batangas,10,4,296342.1523,121.03136,13.89192,2018,January,0
20,Province,2,PH1401100000,Benguet,11,14,282784.8759,120.69886,16.54284,2018,January,0
21,Province,2,PH0701200000,Bohol,12,7,396752.4873,124.19758,9.85386,2018,January,1
22,Province,2,PH1001300000,Bukidnon,13,10,935846.7352,125.00693,8.01875,2018,January,1
23,Province,2,PH0301400000,Bulacan,14,3,268894.0986,121.05787,14.97878,2018,January,0
24,Province,2,PH0201500000,Cagayan,15,2,879759.9291,121.76061,18.09416,2018,January,0
25,Province,2,PH0501600000,Camarines Norte,16,5,212131.5983,122.7276,14.14318,2018,January,0
26,Province,2,PH0501700000,Camarines Sur,17,5,526280.2518,123.26232,13.70538,2018,January,0
27,Province,2,PH1001800000,Camiguin,18,10,24254.34914,124.71774,9.172,2018,January,0
28,Province,2,PH0601900000,Capiz,19,6,265103.7091,122.63293,11.3699,2018,January,0
29,Province,2,PH1600200000,Agusan Del Norte,2,16,267625.5396,125.53568,9.03125,2018,January,1
30,Province,2,PH0502000000,Catanduanes,20,5,146059.0863,124.23645,13.78322,2018,January,0
31,Province,2,PH0402100000,Cavite,21,4,124520.1231,120.86848,14.25517,2018,January,0
32,Province,2,PH0702200000,Cebu,22,7,486471.6869,123.75473,10.35505,2018,January,1
33,Province,2,PH1102300000,Davao Del Norte,23,11,324540.853,125.64222,7.58531,2018,January,1
34,Province,2,PH1102400000,Davao Del Sur,24,11,426257.1808,125.34537,7.01621,2018,January,1
35,Province,2,PH1102500000,Davao Oriental,25,11,498905.6008,126.29823,7.25136,2018,January,1
36,Province,2,PH0802600000,Eastern Samar,26,8,424954.8963,125.38108,11.64761,2018,January,0
37,Province,2,PH1402700000,Ifugao,27,14,250670.7928,121.20724,16.84847,2018,January,0
38,Province,2,PH0102800000,Ilocos Norte,28,1,327178.9476,120.73031,18.2049,2018,January,0
39,Province,2,PH0102900000,Ilocos Sur,29,1,246531.6268,120.54701,17.24747,2018,January,0
40,Province,2,PH1600300000,Agusan Del Sur,3,16,845214.9145,125.72898,8.42159,2018,January,1
41,Province,2,PH0603000000,Iloilo,30,6,471476.4392,122.60538,11.0076,2018,January,1
42,Province,2,PH0203100000,Isabela,31,2,1049495.036,121.96124,16.98735,2018,January,0
43,Province,2,PH1403200000,Kalinga,32,14,282509.4079,121.2795,17.43098,2018,January,0
