NAME,CLASSIFICATION,DATE OF OCCURRENCE,YEAR OF OCCURRENCE,LATITUDE,LONGITUDE
Agaton,Tropical Depression,01/01/2018,2018,8.7,129.9
Agaton,Tropical Depression,01/01/2018,2018,8.7,129.1
Agaton,Tropical Depression,01/01/2018,2018,8.8,128.3
Agaton,Tropical Depression,01/01/2018,2018,9,127.6
Agaton,Tropical Depression,01/01/2018,2018,9.4,126.7
Agaton,Tropical Depression,01/01/2018,2018,9.6,125.6
Agaton,Tropical Depression,01/01/2018,2018,9.6,124.5
Agaton,Tropical Depression,01/01/2018,2018,9.5,123.5
Agaton,Tropical Depression,02/01/2018,2018,9.4,122.4
Agaton,Tropical Depression,02/01/2018,2018,9.3,121.5
Agaton,Tropical Depression,02/01/2018,2018,9.2,120.7
Agaton,Tropical Depression,02/01/2018,2018,9.2,120
Agaton,Tropical Depression,02/01/2018,2018,9.3,119.2
Agaton,Tropical Depression,02/01/2018,2018,9.6,118.3
Agaton,Tropical Depression,02/01/2018,2018,10,117.3
Agaton,Tropical Storm,03/01/2018,2018,10.6,116
Agaton,Tropical Storm,03/01/2018,2018,11.1,114.8
Basyang,Tropical Storm,11/02/2018,2018,6.8,136
Basyang,Tropical Storm,11/02/2018,2018,7,134.6
Basyang,Tropical Storm,11/02/2018,2018,7.1,133
Basyang,Tropical Storm,11/02/2018,2018,7.1,132.4
Basyang,Tropical Storm,12/02/2018,2018,7.1,131.9
Basyang,Tropical Storm,12/02/2018,2018,7.1,131.3
Basyang,Tropical Storm,12/02/2018,2018,7.1,130.7
Basyang,Tropical Storm,12/02/2018,2018,7.2,129.9
Basyang,Tropical Storm,12/02/2018,2018,7.4,129.2
Basyang,Tropical Storm,12/02/2018,2018,7.8,128.6
Basyang,Tropical Storm,12/02/2018,2018,8.3,128.1
Basyang,Tropical Storm,12/02/2018,2018,8.9,127.3
Basyang,Tropical Depression,02/13/2018,2018,9.4,126.5
Basyang,Tropical Depression,02/13/2018,2018,9.7,125.4
Basyang,Tropical Depression,02/13/2018,2018,9.6,124.6
Basyang,Tropical Depression,02/13/2018,2018,9.4,124
Basyang,Tropical Depression,02/13/2018,2018,9.2,123.5
